Player,2018/19,,,,,
Tim Frazier ,"$1,832,107 ",$0 ,$0 ,$0 ,$0 ,$0 
Trey Burke ,"$1,795,015 ",$0 ,$0 ,$0 ,$0 ,$0 
Malik Beasley ,"$1,773,840 ","$2,731,713 ","$3,895,423 ",$0 ,$0 ,$0 
Moritz Wagner ,"$1,764,240 ","$2,066,040 ","$2,164,680 ","$3,898,588 ","$5,727,026 ",$0 
Nerlens Noel ,"$1,757,429 ","$1,988,119 ",$0 ,$0 ,$0 ,$0 
Ian Clark ,"$1,757,429 ",$0 ,$0 ,$0 ,$0 ,$0 
Caleb Swanigan ,"$1,740,000 ","$2,033,160 ","$3,665,787 ","$5,410,702 ",$0 ,$0 
Furkan Korkmaz ,"$1,740,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Landry Shamet ,"$1,705,920 ","$1,997,640 ","$2,092,920 ","$3,773,534 ","$5,569,737 ",$0 
Caris LeVert ,"$1,702,800 ","$2,625,717 ","$3,762,653 ",$0 ,$0 ,$0 
Rodions Kurucs ,"$1,690,000 ","$1,774,500 ","$1,859,000 ","$1,943,500 ",$0 ,$0 
Jonah Bolden ,"$1,690,000 ","$1,698,450 ","$1,766,550 ","$1,845,000 ",$0 ,$0 
Kyle Kuzma ,"$1,689,840 ","$1,974,600 ","$3,562,178 ","$5,282,711 ",$0 ,$0 
Tony Bradley ,"$1,679,520 ","$1,962,360 ","$3,542,060 ","$5,277,669 ",$0 ,$0 
Derrick White ,"$1,667,160 ","$1,948,080 ","$3,516,284 ","$5,274,427 ",$0 ,$0 
Kyle Singler ,"$1,665,333 ","$1,665,333 ","$1,665,333 ",$0 ,$0 ,$0 
Robert Williams ,"$1,656,600 ","$1,940,160 ","$2,032,440 ","$3,666,521 ","$5,437,451 ",$0 
Spencer Dinwiddie ,"$1,656,092 ",,,,$0 ,$0 
MarShon Brooks ,"$1,656,092 ",$0 ,$0 ,$0 ,$0 ,$0 
Josh Hart ,"$1,655,160 ","$1,934,160 ","$3,491,159 ","$5,236,738 ",$0 ,$0 
Jacob Evans ,"$1,646,400 ","$1,928,280 ","$2,019,960 ","$3,646,027 ","$5,432,581 ",$0 
Pat Connaughton ,"$1,641,000 ","$1,723,050 ",$0 ,$0 ,$0 ,$0 
DeAndre Bembry ,"$1,634,640 ","$2,603,981 ","$3,752,337 ",$0 ,$0 ,$0 
Dzanan Musa ,"$1,634,400 ","$1,914,120 ","$2,005,200 ","$3,619,386 ","$5,429,079 ",$0 
Deyonta Davis ,"$1,630,408 ",$0 ,$0 ,$0 ,$0 ,$0 
Omari Spellman ,"$1,622,520 ","$1,900,200 ","$1,990,920 ","$3,593,610 ","$5,390,415 ",$0 
James Ennis ,"$1,621,415 ","$1,845,301 ",$0 ,$0 ,$0 ,$0 
Noah Vonleh ,"$1,621,415 ",$0 ,$0 ,$0 ,$0 ,$0 
Luke Kornet ,"$1,619,260 ",$0 ,$0 ,$0 ,$0 ,$0 
TJ McConnell ,"$1,600,520 ",$0 ,$0 ,$0 ,$0 ,$0 
Richaun Holmes ,"$1,600,520 ",$0 ,$0 ,$0 ,$0 ,$0 
Malachi Richardson ,"$1,569,360 ",$0 ,$0 ,$0 ,$0 ,$0 
Jahlil Okafor ,"$1,567,007 ","$1,702,486 ",$0 ,$0 ,$0 ,$0 
Kevon Looney ,"$1,567,007 ",$0 ,$0 ,$0 ,$0 ,$0 
Pascal Siakam ,"$1,544,951 ","$2,351,838 ","$3,487,776 ",$0 ,$0 ,$0 
Skal Labissiere ,"$1,544,951 ","$2,338,846 ","$3,484,881 ",$0 ,$0 ,$0 
Dejounte Murray ,"$1,544,951 ","$2,321,735 ","$3,482,603 ",$0 ,$0 ,$0 
Damian Jones ,"$1,544,951 ","$2,305,057 ","$3,457,585 ",$0 ,$0 ,$0 
Wayne Selden ,"$1,544,951 ",$0 ,$0 ,$0 ,$0 ,$0 
